Event ID,Event time,User name,Event name,Resource type,Resources,AWS region,Error code,Source IP address
7f1c0e4c-040b-4f4c-a910-330015db83ce,"2020-06-26, 03:06:24 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
32c6b11f-b264-479b-a5a5-54172a85bebf,"2020-06-26, 03:06:20 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0f120a153d50ccce7""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-041bb23b546959586""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
fe39814c-4bd9-46c0-9ced-a3fd98b27a99,"2020-06-26, 03:06:20 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07ee0f5e65882502a""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05f8c9902d88661b5""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
6061115d-ee70-4ecc-85a2-23f543e2c834,"2020-06-26, 03:05:01 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0bbae06ea3deb2cae""}]",us-east-1,,69.115.180.74
dfae5ce3-161b-4f21-b4ec-42f5e4a11d26,"2020-06-26, 03:05:01 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-08c109bd894e3dcc3""}]",us-east-1,,69.115.180.74
d7021bc7-60c8-499c-9be2-598ee0ffdd6d,"2020-06-26, 03:02:54 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
34407a6a-f184-4229-a29f-8ca44c51e41d,"2020-06-26, 03:02:51 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
e138233c-be96-4d70-b829-c80819a31c80,"2020-06-26, 03:02:51 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
cb722459-da5b-4664-b990-759eb8a06620,"2020-06-26, 03:02:50 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
023515f6-b242-405f-aa3b-326ead8b628f,"2020-06-26, 03:02:47 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-062f1746b3635088f""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06b630562c50cae32""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
